"PersonName";"RoleName";"TimeOfDay";"Content"
"Carlos Lourenço";"Cloud Security Engineer";"6:15 AM";"I wake up with the alarm clock… Or with my Beagle doing that job to make sure I feed her first. Beagle owners will understand! My other dog stays on his bed, and well, because even I wanted to stay a little longer!"
"Carlos Lourenço";"Cloud Security Engineer";"6:30 AM";"It's too early to practice any kind of sports, so I leave it for later (which usually doesn't happen). Instead, I prioritize more basic survival activities, such as eating something, taking a shower, and getting dressed."
"Carlos Lourenço";"Cloud Security Engineer";"7:15 AM";"Time to wake up the youngest in the house (miss Di) and get her ready for daycare."
"Carlos Lourenço";"Cloud Security Engineer";"8:00 AM";"It’s time to go to my man’s cave aka office, where I start reading emails to catch up. This world of Clouds is experiencing unusual growth, so every day there are new implementations, new discoveries and new cyberattacks, so I usually dedicate a few minutes a day to read blogs, RSS feeds and newsletters to keep up to date."
"Carlos Lourenço";"Cloud Security Engineer";"8:30 AM";"Let the games begin! If everything goes well, and no critical vulnerability is discovered, I can dedicate myself implementing something new, such as, for example, automation to free up our manual detection/remediation processes. But occasionally there are new vulnerabilities on the loose and, in that case, we must understand if we are affected looking to ours, and our client’s, infrastructure. Sometimes this is a quick process, sometimes it takes some time, but thanks to the power of the Cloud we can usually get a response quickly and even an immediate remediation."
"Carlos Lourenço";"Cloud Security Engineer";"10:00 AM";"It's time for meetings... yes, there are many meetings happening throughout the day, but team meetings are very important to keep us in sync, and usually they occur at this time."
"Carlos Lourenço";"Cloud Security Engineer";"1:00 PM";"Let’s take a break and eat something. Being at home, I must stick to the frying pan and stove... I'm not much as a cook (only at the barbecue) but I'm quite good at eating, so that’s a good balance..."
"Carlos Lourenço";"Cloud Security Engineer";"2:00 PM";"Back at work, I go through GitHub to make some reviews, give/receive feedback on some of my implementations or my colleagues’ implementations. A lot of our work ends up being in Terraform for implementing infrastructure, and Python focusing on automation."
"Carlos Lourenço";"Cloud Security Engineer";"4:00 PM";"I probably had a few meetings here in between bu, on a good day, I have time to explore new features and create a few more “issues” for our ever-growing backlog."
"Carlos Lourenço";"Cloud Security Engineer";"5:30 PM";"Time to pick up the little one from daycare. I spend some time driving, so I take the opportunity to listen to some podcasts (Crying Out Cloud is one of my favorites). This is another way I use to try to keep up to date on Cloud and security topics."
"Carlos Lourenço";"Cloud Security Engineer";"6:30 PM";"Back home, it's time to play with Miss Di, and probably at this stage I like playing more than she does! Hopefully the weather is good, and the dogs can join us."
"Carlos Lourenço";"Cloud Security Engineer";"7:00 PM";"Time to feed, wash and bed for the youngest. A process that always involves some fun and takes some time."
"Carlos Lourenço";"Cloud Security Engineer";"9:30 PM";"If I still have battery, I’m going back to the PC with the excuse to study something, but I probably end up playing CS to discharge energy (yes, it requires a lot of effort). But, if my battery is depleted, I go straight to bed. I will probably try to watch some Netflix, but typically 2 min of tv shows will suffice, because I fall asleep easily."
